Unidades de saúde;Data;Quantidade de leitos UTI Adulto COVID;Disponíveis/Vagos UTI Adulto COVID;Ocupados UTI Adulto COVID;Bloqueados UTI Adulto COVID;Ocupação(%) de leitos UTI Adulto COVID;Quantidade de leitos UTI Adulto Não COVID;Disponíveis/Vagos UTI Adulto Não COVID;Ocupados UTI Adulto Não COVID;Bloqueados UTI Adulto Não COVID;Ocupação(%) de leitos UTI Adulto Não COVID
ANÁPOLIS/HEANA;19/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;20/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;21/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;22/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;23/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;24/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;25/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;26/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;27/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;28/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;29/02/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;01/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;02/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;03/03/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;04/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;05/03/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;06/03/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;07/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;08/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;09/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;10/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;11/03/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;12/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;13/03/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;14/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;15/03/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;16/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;17/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;18/03/2020;;;;;;20;1;17;2;95,0
ANÁPOLIS/HEANA;19/03/2020;;;;;;20;3;15;2;85,0
ANÁPOLIS/HEANA;20/03/2020;;;;;;20;2;16;2;90,0
ANÁPOLIS/HEANA;21/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;22/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;23/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;24/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;25/03/2020;;;;;;20;0;18;2;100,0
ANÁPOLIS/HEANA;26/03/2020;;;;;;21;1;18;2;95,24
ANÁPOLIS/HEANA;27/03/2020;;;;;;22;1;19;2;95,45
ANÁPOLIS/HEANA;28/03/2020;;;;;;22;1;19;2;95,45
ANÁPOLIS/HEANA;29/03/2020;;;;;;22;1;19;2;95,45
ANÁPOLIS/HEANA;30/03/2020;;;;;;22;2;18;2;90,91
ANÁPOLIS/HEANA;31/03/2020;;;;;;22;1;19;2;95,45
ANÁPOLIS/HEANA;01/04/2020;;;;;;22;0;20;2;100,0
ANÁPOLIS/HEANA;02/04/2020;;;;;;22;1;19;2;95,45
ANÁPOLIS/HEANA;03/04/2020;;;;;;22;2;18;2;90,91
ANÁPOLIS/HEANA;04/04/2020;;;;;;22;1;19;2;95,45
ANÁPOLIS/HEANA;05/04/2020;;;;;;22;2;18;2;90,91
ANÁPOLIS/HEANA;06/04/2020;;;;;;22;5;15;2;77,27
ANÁPOLIS/HEANA;07/04/2020;;;;;;22;1;19;2;95,45
ANÁPOLIS/HEANA;08/04/2020;;;;;;24;1;18;5;95,83
ANÁPOLIS/HEANA;09/04/2020;;;;;;24;2;17;5;91,67
ANÁPOLIS/HEANA;10/04/2020;;;;;;24;0;19;5;100,0
ANÁPOLIS/HEANA;11/04/2020;;;;;;24;1;19;4;95,83
ANÁPOLIS/HEANA;12/04/2020;;;;;;24;2;18;4;91,67
ANÁPOLIS/HEANA;13/04/2020;;;;;;24;1;19;4;95,83
ANÁPOLIS/HEANA;14/04/2020;;;;;;24;1;19;4;95,83
ANÁPOLIS/HEANA;15/04/2020;;;;;;24;0;20;4;100,0
ANÁPOLIS/HEANA;16/04/2020;;;;;;24;0;20;4;100,0
ANÁPOLIS/HEANA;17/04/2020;;;;;;24;3;17;4;87,5
ANÁPOLIS/HEANA;18/04/2020;;;;;;24;1;20;3;95,83
ANÁPOLIS/HEANA;19/04/2020;;;;;;24;2;19;3;91,67
ANÁPOLIS/HEANA;20/04/2020;;;;;;24;1;20;3;95,83
ANÁPOLIS/HEANA;21/04/2020;;;;;;24;2;19;3;91,67
ANÁPOLIS/HEANA;22/04/2020;15;0;3;12;100,0;24;2;16;6;91,67
ANÁPOLIS/HEANA;23/04/2020;15;0;3;12;100,0;20;1;17;2;95,0
ANÁPOLIS/HEANA;24/04/2020;15;0;1;14;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;25/04/2020;15;0;1;14;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;26/04/2020;15;2;1;12;86,67;20;0;18;2;100,0
ANÁPOLIS/HEANA;27/04/2020;15;1;1;13;93,33;20;0;18;2;100,0
ANÁPOLIS/HEANA;28/04/2020;15;0;2;13;100,0;20;2;16;2;90,0
ANÁPOLIS/HEANA;29/04/2020;15;0;2;13;100,0;20;1;17;2;95,0
ANÁPOLIS/HEANA;30/04/2020;15;0;0;15;100,0;20;1;17;2;95,0
ANÁPOLIS/HEANA;01/05/2020;15;0;1;14;100,0;20;1;17;2;95,0
ANÁPOLIS/HEANA;02/05/2020;15;0;2;13;100,0;20;1;17;2;95,0
ANÁPOLIS/HEANA;03/05/2020;15;0;2;13;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;04/05/2020;15;0;1;14;100,0;20;1;17;2;95,0
ANÁPOLIS/HEANA;05/05/2020;15;0;1;14;100,0;20;0;17;3;100,0
ANÁPOLIS/HEANA;06/05/2020;15;0;1;14;100,0;20;2;16;2;90,0
ANÁPOLIS/HEANA;07/05/2020;15;0;1;14;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;08/05/2020;15;0;0;15;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;09/05/2020;15;0;1;14;100,0;20;1;17;2;95,0
ANÁPOLIS/HEANA;10/05/2020;15;0;1;14;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;11/05/2020;15;0;2;13;100,0;20;1;17;2;95,0
ANÁPOLIS/HEANA;12/05/2020;15;0;1;14;100,0;21;0;18;3;100,0
ANÁPOLIS/HEANA;13/05/2020;15;0;1;14;100,0;21;1;17;3;95,24
ANÁPOLIS/HEANA;14/05/2020;15;0;1;14;100,0;21;0;18;3;100,0
ANÁPOLIS/HEANA;15/05/2020;15;0;4;11;100,0;21;1;17;3;95,24
ANÁPOLIS/HEANA;16/05/2020;15;0;2;13;100,0;21;0;18;3;100,0
ANÁPOLIS/HEANA;17/05/2020;15;0;4;11;100,0;21;0;18;3;100,0
ANÁPOLIS/HEANA;18/05/2020;15;0;4;11;100,0;21;3;15;3;85,71
ANÁPOLIS/HEANA;19/05/2020;15;0;4;11;100,0;21;2;16;3;90,48
ANÁPOLIS/HEANA;20/05/2020;15;0;3;12;100,0;21;2;16;3;90,48
ANÁPOLIS/HEANA;21/05/2020;15;0;4;11;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;22/05/2020;15;1;3;11;93,33;20;0;18;2;100,0
ANÁPOLIS/HEANA;23/05/2020;15;0;3;12;100,0;20;0;18;2;100,0
ANÁPOLIS/HEANA;24/05/2020;15;1;2;12;93,33;20;2;16;2;90,0
